Temperature,Salinity,DGM,ICE,WS,GEM,Lat
3.8609,27.6936,0.0795,0.0000,3.9527,0.9363,73.0207
2.2016,26.9749,0.0927,0.0000,3.8018,0.8972,73.1571
2.0177,27.2540,0.0859,0.0000,5.4520,0.8855,73.3085
1.2411,27.4245,0.0689,0.0000,4.1465,0.8942,73.4591
1.3057,27.3022,0.0509,0.0000,5.5134,0.9785,73.6070
1.2334,27.0788,0.0343,0.0000,4.7749,1.0952,73.7488
0.9259,26.8912,0.0323,0.0000,5.4585,1.1190,73.8646
1.1475,27.1208,0.0344,0.0000,7.5070,1.1887,73.9501
1.2066,27.0125,0.0317,0.0000,8.5016,1.1925,74.0353
0.8159,27.1366,0.0367,0.0000,6.9461,1.1992,74.1225
0.1837,26.7181,0.0232,0.0000,4.8063,1.1880,74.2111
0.0480,26.8574,0.0366,0.0000,2.5725,1.1820,74.2939
0.0250,26.7553,0.0425,0.0721,1.3656,1.1605,74.3906
-0.1460,26.9511,0.0416,0.2726,1.9028,1.1345,74.4748
-0.3558,27.4230,0.0513,0.2807,3.4663,1.1108,74.5513
-0.4054,28.0541,0.0607,0.4320,3.9196,1.1482,74.6622
-0.3863,28.4082,0.0713,0.2180,4.2100,1.1387,74.7362
-0.4575,28.7753,0.0664,0.1244,5.6708,1.0495,74.7928
-0.3936,28.5964,0.0610,0.0918,8.0361,1.0233,74.8189
-0.3779,27.9049,0.0781,0.2245,8.4986,1.0423,74.8488
-0.4566,27.8691,0.0842,0.2329,7.7941,1.1275,74.8967
-0.4395,27.6815,0.0876,0.2792,9.1277,1.2152,74.9465
-0.4051,27.5596,0.0872,0.3614,7.5791,1.2372,74.9968
-0.4176,27.6414,0.0886,0.6001,5.5493,1.2298,75.0269
-0.4428,27.6425,0.1088,0.5022,4.7228,1.2057,75.0342
-0.4030,27.8161,0.1105,0.3530,3.9782,1.2085,75.0271
-0.4063,27.8912,0.1012,0.1460,2.8469,1.1977,75.0300
-0.2993,27.9457,0.0958,0.0000,2.9601,1.1847,75.0695
-0.2958,27.9571,0.0962,0.0000,3.0149,1.1880,75.0904
-0.2039,28.0014,0.1075,0.0000,2.7213,1.1922,75.0879
-0.0879,28.0067,0.1050,0.0000,2.3763,1.2070,75.0351
0.0521,27.9696,0.0908,0.0000,3.7290,1.2098,74.9830
0.1612,27.9065,0.0857,0.0000,3.8963,1.2153,74.9265
0.3859,27.7911,0.0715,0.0000,3.9620,1.2170,74.8673
0.6763,27.3999,0.0644,0.0000,5.4584,1.2150,74.8137
0.8424,27.1329,0.0832,0.0000,5.8019,1.2093,74.7634
0.9108,27.0296,0.0868,0.0000,5.6933,1.1943,74.7154
0.8900,27.1224,0.0948,0.0000,7.4684,1.1902,74.6664
0.9499,26.6535,0.0650,0.0000,8.1988,1.1860,74.6166
0.9565,26.2896,0.0703,0.0000,8.8921,1.1830,74.5653
1.1491,26.3614,0.0535,0.0000,10.1889,1.2104,74.5219
1.1500,26.3013,0.0606,0.0000,9.5068,1.2075,74.4825
1.3951,26.4367,0.0582,0.0000,10.3270,1.2137,74.4488
1.3886,26.3607,0.0503,0.0000,6.6773,1.1413,74.3498
1.2467,26.5665,0.0380,0.0000,5.7913,1.1317,74.1893
1.1606,26.7436,0.0247,0.0000,5.7512,1.1370,74.1362
1.2207,26.6361,0.0277,0.0000,5.4208,1.1025,74.1668
1.2017,26.5702,0.0314,0.0000,5.9070,1.0757,74.1978
1.1638,26.4604,0.0384,0.0000,6.3471,1.0782,74.2286
1.1270,26.5894,0.0488,0.0000,6.2047,1.0738,74.2592
1.1013,26.6927,0.0411,0.0000,7.3923,1.0618,74.2860
1.0937,26.7502,0.0411,0.0000,7.8859,1.0643,74.1922
1.0461,26.9500,0.0488,0.0000,6.6623,1.0813,74.0417
0.9961,26.9468,0.0436,0.0000,6.0593,1.0973,73.9606
0.8233,27.0878,0.0312,0.0000,1.0932,1.1015,73.8439
0.7958,27.1587,0.0302,0.0000,0.9060,1.0963,73.8284
0.6575,27.3731,0.0239,0.0000,0.6218,1.1027,73.7946
0.6767,27.3733,0.0295,0.0000,0.6897,1.1163,73.7978
0.8532,27.1504,0.0256,0.0000,2.4850,1.1015,73.8378
0.8654,27.1010,0.0316,0.0000,1.6614,1.0795,73.8443
0.9371,27.0973,0.0350,0.0000,0.9348,1.0473,73.8459
0.9398,27.1131,0.0363,0.0000,3.4996,0.9937,73.8498
1.0640,27.0350,0.0280,0.0000,4.1273,1.0093,73.8930
1.0064,27.0856,0.0278,0.0000,3.4529,1.0338,73.9272
0.9805,27.0763,0.0301,0.0000,3.7458,1.0510,73.9562
1.1151,26.9335,0.0330,0.0000,5.5108,1.0620,73.9995
1.0191,27.0158,0.0326,0.0000,5.7174,1.0565,73.9732
0.9626,27.0708,0.0336,0.0000,4.0876,1.0510,73.9350
0.9636,27.0605,0.0323,0.0000,4.1757,1.0320,73.9239
0.9810,27.0327,0.0330,0.0000,5.4404,1.0255,73.9280
