RowID,Temperature,Salinity,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443,NSE_num,NSE_den,PBIAS_num,PBIAS_den
1,-0.444,30.078,0.79559,9.798,0.153203186795992,0.185,0.828667540706783,1.15083747279289,1.128,15.2206286,0.000131338306380366,0.194972203174906,0.155344730234007,0.0553875054566664,0.105148222393466,0.00775012603337407,0.00360922710877304,0.0741221820159816,0.169246983718938,0.0710541388153693,1.4297409372255e-05,0.000326297138398595,0.000282702468382747,0.0001670011744323,0.00329466870108702,0.00036,0.000460213320623077,0.114439408865474,0.00101103732993055,0.0041525136,3.17968132040075,0.185
2,-0.431,30.348,0.85288,11.359,0.182477317505344,0.191,0.879207748381129,1.16890835974668,1.127,16.1747276,0.000240515194866309,0.206863504758627,0.187776799961985,0.0430839532422504,0.153624790342625,0.00830987081078458,0.00361616110105642,0.0770227040922482,0.181470670768826,0.0711906469472766,1.06584972305918e-05,0.000256075936218026,0.000252089097445349,0.000124496788813113,0.0024393455207577,0.00036,0.000410377600492429,0.111999140928393,7.26361169047208e-05,0.0049617936,0.852268249465629,0.191
3,-0.509,30.42,0.76806,10.656,0.17098199131382,0.175,0.857654255628113,1.19641455174412,1.123,16.429154,0.000231861550204096,0.201792313042121,0.237142541615581,0.0820642691872036,0.162834173686698,0.00846060912801727,0.00361364054317503,0.0983901163244702,0.184762488916382,0.0711410252237888,1.61918122980039e-05,0.000390446302460344,0.000348523192821886,0.000189128785470841,0.00365879395112886,0.00036,0.000567363337151907,0.111347544367497,1.6144393802217e-05,0.0029637136,0.401800868617988,0.175
4,-0.193,30.537,0.7542,9.941,0.174386875564794,0.166,0.849685813481713,1.19127573609026,1.122,16.8425969,0.000214387887449111,0.199917466200853,0.227919838378521,0.0897800620047529,0.146526558101803,0.00870688172512905,0.00360562060063144,0.0992268355282013,0.190140581356983,0.0709831382043219,1.72813164887935e-05,0.000423981652991748,0.000378762721265624,0.000201854760832773,0.0038664526957757,0.00036,0.000616590476478923,0.110287944988659,7.03396817393443e-05,0.0020647936,-0.838687556479434,0.166
5,-0.552,30.549,0.70175,9.069,0.168948217851516,0.181,0.832225616674626,1.18551576238411,1.116,16.8850013,0.000177337373808564,0.195809361475957,0.217582334229063,0.0988099356152092,0.126536494450004,0.00873223305663449,0.00360452334393196,0.0970344787280384,0.190694202855792,0.070961536729133,2.05208376880383e-05,0.000505248356714059,0.000426376258962645,0.000239694052608392,0.00459458990441398,0.00036,0.000694100886683375,0.110179215753877,0.000145245452954511,0.0036529936,1.20517821484837,0.181
6,-0.471,30.502,0.71299,10.023,0.168133480187738,0.16,0.84602753650602,1.20568923255449,1.113,16.7189174,0.000222072475245459,0.199056732207137,0.253787939017266,0.101909662269605,0.159456950874466,0.00863303874784821,0.00360852902116265,0.106707635870598,0.188528000978317,0.0710403957029303,2.01298402605943e-05,0.00048801363944734,0.000411268687549746,0.00023512699938336,0.0044869925674826,0.00036,0.000669507165778656,0.110605016470369,6.61534999643255e-05,0.0015555136,-0.813348018773793,0.16
7,-0.602,30.852,0.60418,9.532,0.189705329272247,0.154,0.878136231929056,1.26627482718919,1.114,17.9557124,0.000399137172806838,0.206611394095259,0.362521740226248,0.13449972338155,0.238990579071346,0.00937806383494495,0.00355988053386737,0.129885681836265,0.204797833009831,0.070082662574684,2.6418459683255e-05,0.000693591628596639,0.000554938600181516,0.000308581343579457,0.00587011269405498,0.00036,0.000903388418900142,0.107430634478908,0.00127487053843957,0.0011182336,-3.57053292722469,0.154
8,-0.658,30.693,0.4836,9.593,0.164156057033538,0.134,0.851358614868284,1.28336859952734,1.102,17.3938541,0.000315913008734362,0.20031104958115,0.393200168894575,0.166869546026884,0.233785596901469,0.00903779286363556,0.0035873699412663,0.143663931725441,0.197367007331225,0.0706238410903079,3.616039583176e-05,0.000896171484042094,0.000611309511976995,0.000422372222450277,0.00787657042034404,0.00036,0.000995155019497434,0.108873714070245,0.000909387775809996,0.0001806336,-3.0156057033538,0.134
9,-0.471,30.442,0.58223,8.582,0.149263487197923,0.138,0.80556814851464,1.19343830887552,1.08,16.5068954,0.000144969042464734,0.189537286074302,0.231801037543939,0.117850650200572,0.119218700870942,0.00850679176903064,0.00361250339824288,0.0979897705179007,0.185771023830269,0.0711186384768684,3.15752116737407e-05,0.000726032824532543,0.000507841521161987,0.000368814887730357,0.00676910628937849,0.00036,0.000826718755379978,0.111148374512045,0.000126866143857767,0.0003041536,-1.12634871979226,0.138
10,-0.37,30.138,0.63443,7.64,0.134755546453467,0.153,0.772429570434001,1.14377294938893,1.103,15.4326506,7.44253787784748e-05,0.181740309287984,0.142665932772762,0.078749059068286,0.0671755154706649,0.00787376001148315,0.00361300391388806,0.0622197952273879,0.171946898248073,0.0711284920291831,2.9775790196326e-05,0.000631558461159995,0.000427148351595184,0.000347796709387494,0.00629835388598435,0.00036,0.000695357781666579,0.113897572075057,0.000332860085211589,0.0010523536,1.82444535465327,0.153
