Temperature,Salinity,DGM,ICE,WS,GEM,Lat
0.815891667,27.13663333,0.036706441,0,6.946144758,1.199166667,74.1
-0.145983333,26.95110833,0.041570224,0.272608741,1.902762616,1.1345,74.5
-0.355833333,27.423,0.05126259,0.280728594,3.466322808,1.110833333,74.6
-0.405433333,28.05410833,0.060679682,0.432039762,3.919558733,1.148166667,74.7
-0.386341667,28.40820833,0.071347372,0.218017731,4.209962933,1.138666667,74.7
-0.457541667,28.77525833,0.066449337,0.124359546,5.670802933,1.0495,74.8
-0.393616667,28.59635,0.061028184,0.091767755,8.03610435,1.023333333,74.8
-0.377891667,27.90485,0.078148483,0.224508595,8.4986401,1.042333333,74.8
-0.456625,27.86905833,0.084237336,0.232887889,7.794116425,1.1275,74.9
-0.439525,27.68154167,0.087567168,0.279224715,9.127651342,1.215166667,74.9
-0.405141667,27.559575,0.087245208,0.361417298,7.579114175,1.237166667,75.0
-0.417575,27.64135,0.088558343,0.600063662,5.549277858,1.229833333,75.0
-0.442833333,27.6425,0.108835044,0.502159162,4.722791933,1.205666667,75.0
-0.403008333,27.81605833,0.110458718,0.352961055,3.978199383,1.2085,75.0
-0.4063,27.89118333,0.10116241,0.146048938,2.846860367,1.197666667,75.0
-0.299333333,27.945675,0.095817074,0,2.96010715,1.184666667,75.1
-0.295825,27.95711667,0.096185461,0,3.014912,1.188,75.1
-0.203858333,28.001425,0.107488923,0,2.721267175,1.192166667,75.1
0.53925,27.5628,0.067386933,0,5.2621421,1.127833333,75.5
0.528744444,27.59492222,0.083418508,0,7.9592864,1.27,75.6
0.520733333,27.59656667,0.086195705,0,9.196081642,1.263,75.7
0.218408333,27.86290833,0.092549036,0,9.629576375,1.23975,75.9
0.19435,27.77983333,0.085542913,0,10.45588798,1.21575,75.9
0.164266667,27.802875,0.086876862,0,10.54456493,1.216833333,75.9
0.087483333,27.90764167,0.098035172,0,8.381364333,1.215166667,75.9
0.184508333,27.757975,0.088621762,0,8.290715317,1.203166667,76.0
0.072966667,28.0191,0.101665078,0,11.19168964,1.208,76.0
-0.06165,28.28030833,0.101073593,0,10.69467143,1.21025,76.1
-0.40395,28.75258333,0.112641016,0,9.735078817,1.18025,76.1
-0.4282,28.73208,0.123249602,0,9.98311504,1.179166667,76.1
-0.414016667,28.709925,0.115082954,0.00579361,10.67605406,1.17,76.2
-0.452458333,28.8097,0.119797714,0.065703333,10.30964159,1.168666667,76.3
-0.4719625,28.783525,0.119452143,0.042002041,11.72225813,1.17,76.4
-0.51776,28.78736,0.122916308,0.09842304,12.23802918,1.170166667,76.5
-0.622108333,29.03193333,0.127686264,0.268220469,11.58228912,1.172,76.6
-0.574433333,29.02375833,0.117936201,0.082093945,11.66974674,1.179,76.8
-0.639241667,29.07263333,0.129508493,0.320588997,10.92322968,1.179,77.0
-0.695675,29.07626667,0.132220505,0.391685096,9.585303625,1.17575,77.2
-0.692216667,29.29055,0.129094343,0.492516052,10.107802,1.166333333,77.3
-0.64255,29.71923333,0.120249427,0.428922832,10.26820494,1.153166667,77.4
-0.663525,29.88400833,0.135338675,0.459881976,8.633145933,1.145166667,77.6
-0.674025,29.97048333,0.144382948,0.479606256,7.133516108,1.136666667,77.8
-0.658583333,29.912325,0.133143411,0.338214997,8.165608692,1.145,77.9
-0.706491667,29.94583333,0.128435117,0.530308217,7.3028673,1.131,78.1
-0.55705,30.08346667,0.158865604,0.66659923,6.711072383,1.1395,78.2
-0.552654545,30.75878182,0.141020088,0.713893765,2.476202717,1.148833333,79.1
-0.531283333,30.49411667,0.155688008,0.748960081,2.213290569,1.151666667,79.3
-0.691708333,30.44699167,0.15922765,0.82613363,1.921658858,1.152666667,79.5
-0.639458333,30.12143333,0.161740399,0.724695598,3.423507375,1.1554,79.6
-0.618716667,30.00658333,0.169933769,0.752351499,4.14606995,1.140666667,79.8
-0.623925,29.94810833,0.174768178,0.78414723,6.587257925,1.138833333,79.9
-0.473941667,29.880475,0.148622062,0.886017968,6.9723351,1.1355,80.0
-0.46225,29.772425,0.15590244,0.87918723,6.844152925,1.1295,80.0
-0.677971429,30.22875714,0.133700805,0.774041753,6.867855492,1.127166667,80.1
-0.404,30.7703,0.087215953,0.76669699,7.240858208,1.1188,80.3
-0.553833333,30.9365,0.151560082,0.70056688,8.011389642,1.123333333,80.4
-0.389808333,31.10408333,0.154549989,0.833361724,6.007152292,1.1275,80.5
-0.670475,31.00216667,0.163557342,0.619875167,5.028778217,1.126166667,80.6
-0.6511,31.0045,0.171067333,0.619875167,5.3216529,1.1265,80.6
-0.65615,31.006725,0.162115765,0.619875167,6.5592927,1.1254,80.6
-0.657483333,31.013175,0.173501104,0.608980946,8.834382917,1.133666667,80.6
-0.644408333,31.01335833,0.174290307,0.608980946,10.54365575,1.125,80.6
-0.645741667,31.01343333,0.16714024,0.608980946,10.05474704,1.123166667,80.6
-0.658241667,31.01211667,0.166983671,0.608980946,10.7232089,1.125666667,80.7
-0.6781,31.01531667,0.174331859,0.624213727,10.41899058,1.1275,80.7
-0.676875,31.03315,0.166215143,0.624213727,9.487706038,1.1348,80.7
-0.814066667,30.94826667,0.16873055,0.649365832,9.4200834,1.122666667,80.7
-0.731941667,31.04670833,0.180161794,0.748002417,8.617820492,1.114833333,80.6
-0.550341667,31.05658333,0.169369048,0.825233737,9.550695642,1.129,80.5
