Scenario,RowID,Regime0,RegimeNew,Regime0_Control,RegimeNew_Control,InitialRegimeSame,RegimeShift_vsControl,Salinity0,Salinity,SeaIce0,SeaIce,Hg0_water,HgII_water,MLD,AS,Net,Diff_Hg0,Diff_HgII,Current_Hg0,Current_HgII,fr_Hg0,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,Salinity_1,SeaIce_1,Hg0_water_Control,HgII_water_Control,MLD_Control,AS_Control,Net_Control,Diff_Hg0_Control,Diff_HgII_Control,Current_Hg0_Control,Current_HgII_Control,fr_Hg0_Control,fr_HgII_Control,Red_UVB_Control,Red_UVA_Control,Red_Bio_Control,Ox_UVB_Control,Ox_UVA_Control,Ox_Dark_Control,Ox_Bio_Control,Salinity_Control,SeaIce_Control,d_Hg0_water,d_HgII_water,d_MLD,d_AS,d_Net,d_Diff_Hg0,d_Diff_HgII,d_Current_Hg0,d_Current_HgII,d_fr_Hg0,d_fr_HgII,d_Red_UVB,d_Red_UVA,d_Red_Bio,d_Ox_UVB,d_Ox_UVA,d_Ox_Dark,d_Ox_Bio,d_Salinity,d_SeaIce
SalinityOnly,1,ice,ice,ice,ice,1,0,28.054,26.954,0.432,0.432,0.040526093684116,0.664671733805003,4.18134979999999,0.0030976311295735,-0.0136290783291083,0.014606564941678,0.0131199875078895,0.00190794981069101,0.0416657418416186,0.0016474811105798,0.0324336341269006,0.000282437098395996,0.00267468775849054,0.000101921772708016,0.00393116833703573,0.0494809315566065,0.00036,0.000165919164873515,26.954,0.432,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,-0.0382520765037183,-0.04779546010358,-3.88707000000001,-0.022830234888369,-0.0292630009158703,0.00607359305455809,0.00578269299611732,-0.00192391783907767,-0.0420144510921189,-0.00108583878425374,-0.0213766929545492,9.6584926795734e-05,9.24912959147802e-05,-0.000138068901693792,0.00166378835652984,0.0237645136144109,0,-0.000224763328338731,-1.1,0
IceOnly,1,ice,ice,ice,ice,1,0,28.054,28.054,0.432,0.3907008,0.0791528399078778,0.719605811198997,8.0684198,0.0280330887354186,0.0175120654467802,0.00878290064116461,0.00730878709538248,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.00019871319928741,0.00276088525546364,0.000246920158255552,0.00242428337558319,0.027496002007967,0.00036,0.000401963048322991,28.054,0.3907008,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,0.000374669720043505,0.00713861729041398,0,0.0021052227174761,0.0018781428600182,0.0002499287540447,-2.85074163896993e-05,0,0,0,0,1.2861027687148e-05,0.00017868879288788,6.92948385374396e-06,0.0001569033950773,0.0017795840657714,0,1.1280555110745e-05,0,-0.0412992
SalinityIce,1,ice,ice,ice,ice,1,0,28.054,26.954,0.432,0.3907008,0.0411335179589779,0.678440715875912,4.18134979999999,0.00371206694456967,-0.0134118305308017,0.0150252657103769,0.0128073315207998,0.00190794981069101,0.0416657418416186,0.0016474811105798,0.0324336341269006,0.000301981832853882,0.00285977697762761,0.000104864659051769,0.00420320640035305,0.0529050273056953,0.00036,0.000170709910084276,26.954,0.3907008,0.0787781701878343,0.712467193908583,8.0684198,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00733729451177218,0.00383186764976868,0.0836801929337375,0.00273331989483354,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,28.054,0.432,-0.0376446522288564,-0.034026478032671,-3.88707000000001,-0.0222157990733728,-0.0290457531175637,0.00649229382325699,0.00547003700902762,-0.00192391783907767,-0.0420144510921189,-0.00108583878425374,-0.0213766929545492,0.00011612966125362,0.00027758051505185,-0.000135126015350039,0.00193582641984716,0.0271886093634997,0,-0.00021997258312797,-1.1,-0.0412992
SalinityOnly,2,ice,ice,ice,ice,1,0,28.408,27.308,0.218,0.218,0.0554304552686134,0.745314118592628,5.4322796,0.0189914576029603,0.00027244000306148,0.016583163010882,0.0108776894925685,0.00251130366520421,0.0548417624059059,0.00204378648447234,0.0402356194830979,0.000315268370187609,0.00359146696841148,0.000159851352467157,0.0042701269141369,0.0519144833231764,0.00036,0.000260223131923279,27.308,0.218,0.0912311976368087,0.750080813372046,9.31934960000001,0.0526860420209633,0.0403119839608923,0.0112151415934761,0.00839894879285883,0.00448181044548556,0.0978736211813873,0.00299142424551972,0.0588915762824017,0.000232310233088291,0.00338995604214404,0.000330609678469547,0.00267756151693882,0.0304071626403051,0.00036,0.000538201802159727,28.408,0.218,-0.0358007423681953,-0.00476669477941805,-3.88707000000001,-0.033694584418003,-0.0400395439578308,0.0053680214174059,0.00247874069970967,-0.00197050678028135,-0.0430318587754814,-0.00094763776104738,-0.0186559567993038,8.2958137099318e-05,0.00020151092626744,-0.00017075832600239,0.00159256539719808,0.0215073206828713,0,-0.000277978670236448,-1.1,0
IceOnly,2,ice,ice,ice,ice,1,0,28.408,28.408,0.218,0.1971592,0.0913244974588241,0.752502139975251,9.31934960000001,0.0541572367613648,0.0416364842909116,0.0113682934962708,0.0083983150662207,0.00448181044548556,0.0978736211813873,0.00299142424551972,0.0588915762824017,0.000238281485911251,0.00347709075126667,0.000333632929249024,0.00274638498869949,0.0311887418817374,0.00036,0.000543123373196085,28.408,0.1971592,0.0912311976368087,0.750080813372046,9.31934960000001,0.0526860420209633,0.0403119839608923,0.0112151415934761,0.00839894879285883,0.00448181044548556,0.0978736211813873,0.00299142424551972,0.0588915762824017,0.000232310233088291,0.00338995604214404,0.000330609678469547,0.00267756151693882,0.0304071626403051,0.00036,0.000538201802159727,28.408,0.218,9.32998220153913e-05,0.00242132660320493,0,0.0014711947404015,0.0013245003300193,0.000153151902794701,-6.33726638129758e-07,0,0,0,0,5.97125282296001e-06,8.713470912263e-05,3.02325077947705e-06,6.882347176067e-05,0.000781579241432302,0,4.92157103635803e-06,0,-0.0208408
SalinityIce,2,ice,ice,ice,ice,1,0,28.408,27.308,0.218,0.1971592,0.0557059173048062,0.750372892605774,5.4322796,0.0197572206826322,0.000834967128815589,0.0167984213728847,0.0107175926720051,0.00251130366520421,0.0548417624059059,0.00204378648447234,0.0402356194830979,0.000323371961322818,0.00368378127152504,0.000161313108602621,0.00437988534815622,0.0532488821612086,0.00036,0.0002626027349345,27.308,0.1971592,0.0912311976368087,0.750080813372046,9.31934960000001,0.0526860420209633,0.0403119839608923,0.0112151415934761,0.00839894879285883,0.00448181044548556,0.0978736211813873,0.00299142424551972,0.0588915762824017,0.000232310233088291,0.00338995604214404,0.000330609678469547,0.00267756151693882,0.0304071626403051,0.00036,0.000538201802159727,28.408,0.218,-0.0355252803320025,0.000292079233727982,-3.88707000000001,-0.0329288213383311,-0.0394770168320767,0.0055832797794086,0.00231864387914627,-0.00197050678028135,-0.0430318587754814,-0.00094763776104738,-0.0186559567993038,9.1061728234527e-05,0.000293825229381,-0.000169296569866926,0.0017023238312174,0.0228417195209035,0,-0.000275599067225227,-1.1,-0.0208408
SalinityOnly,3,open,open,open,open,1,0,28.775,27.075,0.1244,0.1244,0.054091700709797,0.834279228884795,5.37923886846525,0.0351637989648124,-0.00852708627538978,0.0414804827030769,0.0135218325086892,0.00246556534081022,0.0538429304629535,0.00208677178975582,0.0410818626694047,0.000341374629684667,0.00362468981996382,0.000155760783267868,0.00471952727654539,0.0614051693175641,0.00036,0.000253564065784902,27.075,0.1244,0.0915212898331768,0.717590237023224,6.71287108296867,0.105228866953761,0.0586845824666218,0.0460085205857697,0.0409817855552298,0.00327002340013384,0.0714106576821762,0.00203105178797249,0.0399849140368619,0.000376210637165123,0.00521384714166804,0.000271291720907318,0.00410040154005839,0.0406943736977409,0.00036,0.00044163768519796,28.775,0.1244,-0.0374295891233798,0.116688991861571,-1.33363221450342,-0.0700650679889486,-0.0672116687420116,-0.0045280378826928,-0.0274599530465406,-0.00080445805932362,-0.0175677272192227,5.572000178333e-05,0.0010969486325428,-3.4836007480456e-05,-0.00158915732170422,-0.00011553093763945,0.000619125736487,0.0207107956198232,0,-0.000188073619413058,-1.7,0
IceOnly,3,open,open,open,open,1,0,28.775,28.775,0.1244,0.11250736,0.0915556794122073,0.718473720858352,6.71287108296867,0.106675367611469,0.0597855736894852,0.0463558206099884,0.0411205131195123,0.00327002340013384,0.0714106576821762,0.00203105178797249,0.0399849140368619,0.000381157679512378,0.00528240746414139,0.000272485912614492,0.00415432043031697,0.0412294909168997,0.00036,0.000443581718209637,28.775,0.11250736,0.0915212898331768,0.717590237023224,6.71287108296867,0.105228866953761,0.0586845824666218,0.0460085205857697,0.0409817855552298,0.00327002340013384,0.0714106576821762,0.00203105178797249,0.0399849140368619,0.000376210637165123,0.00521384714166804,0.000271291720907318,0.00410040154005839,0.0406943736977409,0.00036,0.00044163768519796,28.775,0.1244,3.43895790304999e-05,0.000883483835128041,0,0.00144650065770799,0.0011009912228634,0.000347300024218698,0.000138727564282501,0,0,0,0,4.94704234725498e-06,6.85603224733497e-05,1.194191707174e-06,5.39188902585796e-05,0.000535117219158804,0,1.94403301167703e-06,0,-0.01189264
SalinityIce,3,open,open,open,open,1,0,28.775,27.075,0.1244,0.11250736,0.0541794904642425,0.836579984525577,5.37923886846525,0.0357938835666926,-0.00819886807981351,0.041786150022648,0.0132735648702767,0.00246556534081022,0.0538429304629535,0.00208677178975582,0.0410818626694047,0.000345863590342596,0.00367235326236445,0.000156446422457517,0.00478158746036164,0.0622126264783807,0.00036,0.00025468022260526,27.075,0.11250736,0.0915212898331768,0.717590237023224,6.71287108296867,0.105228866953761,0.0586845824666218,0.0460085205857697,0.0409817855552298,0.00327002340013384,0.0714106576821762,0.00203105178797249,0.0399849140368619,0.000376210637165123,0.00521384714166804,0.000271291720907318,0.00410040154005839,0.0406943736977409,0.00036,0.00044163768519796,28.775,0.1244,-0.0373417993689343,0.118989747502353,-1.33363221450342,-0.0694349833870684,-0.0668834505464353,-0.0042223705631217,-0.0277082206849531,-0.00080445805932362,-0.0175677272192227,5.572000178333e-05,0.0010969486325428,-3.0347046822527e-05,-0.00154149387930359,-0.000114845298449801,0.000681185920303249,0.0215182527806398,0,-0.0001869574625927,-1.7,-0.01189264
SalinityOnly,4,open,open,open,open,1,0,28.596,26.896,0.0918,0.0918,0.0551340234834055,0.92148757199767,6.39819006799544,0.0749895692625423,-0.0246092229265726,0.0969026003459801,0.000589593437224884,0.00291321176175554,0.0636186174893733,0.00253956719262142,0.0499959560308254,0.000296597546055052,0.0030703127038802,0.00017794194461238,0.00413729177189674,0.0592512017968846,0.00036,0.000289672933089921,26.896,0.0918,0.0910372640620123,0.762516078575743,7.89512167408105,0.210234009945711,0.102687335117385,0.10671299887853,0.0741046964822147,0.0038220057590163,0.0834648293052729,0.00245972330359757,0.0484240852110398,0.000321920473132584,0.00461440410968891,0.000308765948140426,0.00360322003058991,0.0383315890607488,0.00036,0.000502642241158833,28.596,0.0918,-0.0359032405786068,0.158971493421927,-1.49693160608561,-0.135244440683169,-0.127296558043958,-0.0098103985325499,-0.0735151030449898,-0.00090879399726076,-0.0198462118158996,7.98438890238502e-05,0.0015718708197856,-2.5322927077532e-05,-0.00154409140580871,-0.000130824003528046,0.00053407174130683,0.0209196127361358,0,-0.000212969308068912,-1.7,0
