RowID,Regime0,RegimeNew,IceMultiplier,SalinityAnomaly,Temperature,Salinity0,Salinity,SeaIce0,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443
1,ice,ice,1,0,-0.405,28.054,28.054,0.432,0.432,3.92,0.0787781701878343,0.061,0.712467193908583,1.07999405419137,1.148,8.0684198,7.03987579247876e-06,0.139558062879255,0.0259278660179425,0.015633922586762,0.00853297188711991,0.00383186764976868,0.00273331989483354,0.00733729451177218,0.0836801929337375,0.0538103270814498,0.000185852171600262,0.00258219646257576,0.000239990674401808,0.00226737998050589,0.0257164179421956,0.00036,0.000390682493212246,0.132550320126028
2,ice,ice,1,0,-0.386,28.408,28.408,0.218,0.218,4.21,0.0912311976368087,0.071,0.750080813372046,1.09427605166008,1.139,9.31934960000001,9.80998242087283e-06,0.146925818075674,0.0526860420209633,0.0403119839608923,0.0112151415934761,0.00448181044548556,0.00299142424551972,0.00839894879285883,0.0978736211813873,0.0588915762824017,0.000232310233088291,0.00338995604214404,0.000330609678469547,0.00267756151693882,0.0304071626403051,0.00036,0.000538201802159727,0.129408279547353
3,open,open,1,0,-0.458,28.775,28.775,0.1244,0.1244,5.671,0.0915212898331768,0.066,0.717590237023224,1.1232780562818,1.05,6.71287108296867,4.03005961430169e-05,0.140561564484997,0.105228866953761,0.0586845824666218,0.0460085205857697,0.00327002340013384,0.00203105178797249,0.0409817855552298,0.0714106576821762,0.0399849140368619,0.000376210637165123,0.00521384714166804,0.000271291720907318,0.00410040154005839,0.0406943736977409,0.00036,0.00044163768519796,0.126138606498374
4,open,open,1,0,-0.394,28.596,28.596,0.0918,0.0918,8.036,0.0910372640620123,0.061,0.762516078575743,1.18169049046001,1.023,7.89512167408105,9.32553267763125e-05,0.149361637630673,0.210234009945711,0.102687335117385,0.10671299887853,0.0038220057590163,0.00245972330359757,0.0741046964822147,0.0834648293052729,0.0484240852110398,0.000321920473132584,0.00461440410968891,0.000308765948140426,0.00360322003058991,0.0383315890607488,0.00036,0.000502642241158833,0.127734862629395
5,ice,ice,1,0,-0.378,27.905,27.905,0.2245,0.2245,8.499,0.0790089767241471,0.078,0.803361763357793,1.15309994647833,1.042,7.5418985,8.52169613061083e-05,0.157362489731508,0.158223892986793,0.0534124000278072,0.103181984511411,0.003562787594479,0.002611383122567,0.0504969254945254,0.0778040320118904,0.0514097820112146,0.000250390701316743,0.00342762915146316,0.000245307235987376,0.00312765632916362,0.0361650892404293,0.00036,0.000399337360909681,0.133869173685461
6,ice,ice,1,0,-0.457,27.869,27.869,0.2329,0.2329,7.794,0.0772321767896091,0.084,0.792470971204868,1.13576684861807,1.128,7.4146853,6.58470958660884e-05,0.155229201533711,0.127071742298304,0.0449951200014815,0.0803755431226062,0.00349817337449306,0.00258074004665904,0.042566756168239,0.0763929889151873,0.0508065178486459,0.000247773843718259,0.00337757131786244,0.000238320678300983,0.00311232317896888,0.036183374933955,0.00036,0.000387963894908577,0.134187488784237
7,ice,ice,1,0,-0.44,27.682,27.682,0.2792,0.2792,9.128,0.076191708719022,0.088,0.83970601028709,1.15277039672025,1.215,6.75388339999999,0.000106886438769293,0.164481600255647,0.157344611432531,0.0246684303310925,0.131084669479687,0.00316503301252428,0.00241416629013277,0.0441189416072842,0.0691178812362344,0.0475272133154272,0.000243754471720024,0.00319069607695005,0.000205290459264206,0.00314876333168233,0.0372844851395076,0.00036,0.00033419377089522,0.135838820089572
8,ice,ice,1,0,-0.418,27.641,27.641,0.6001,0.6001,5.549,0.0664155036743258,0.089,0.705465450100576,1.08054171839567,1.23,6.60900169999999,1.90610573867394e-05,0.138186561410869,0.026026216121759,-0.000436227890202201,0.0244066397127811,0.00309255075365372,0.00237598593315459,0.0205266077023382,0.0675350161790533,0.0467755641941641,0.000139020372323696,0.0018090062430731,0.00015455121628587,0.00180634967287061,0.0215831623197831,0.00036,0.000251595003256068,0.136200389527962
9,ice,ice,1,0,-0.443,27.643,27.643,0.5022,0.5022,4.723,0.0645777073244085,0.109,0.697674443080579,1.07805575811633,1.206,6.6160691,1.27013423597742e-05,0.136660459076775,0.0220797835345217,0.00353470443085219,0.0163924350817454,0.00309608180752593,0.00237786223098933,0.0141674742940876,0.0676121272111382,0.0468125024977928,0.000170411847347424,0.00221977726255224,0.000171333683213207,0.00221360813779794,0.0264568127520082,0.00036,0.000278915298254057,0.136182756115453
10,ice,ice,1,0,-0.403,27.816,27.816,0.353,0.353,3.978,0.0711088991149317,0.11,0.717986742484302,1.07925312896563,1.209,7.22739919999999,8.13337445906981e-06,0.140639231968556,0.025013819157344,0.0128155646476147,0.0102032787020659,0.0034033290617133,0.00253478957975268,0.00825489600993063,0.0743217820997437,0.0499019001131038,0.000208035985554517,0.00282752646963287,0.000215371174977437,0.00263449969437182,0.031004739343208,0.00036,0.000350604238335362,0.13465587936571
